Name,LTP,Change %,Volume,Market Cap (Cr.),PE Ratio,Industry PE,52W High,52W Low,1M Returns,3M Returns,1 Yr Returns,3 Yr Returns,5 Yr Returns,PB Ratio,Dividend,ROE,ROCE,EPS,50 DMA,200 DMA,RSI
Reliance Industries,"2,923.05",-0.06%,"53,84,130","₹ 19,79,711.25",28.80,12.66,"3,217.60","2,220.30",0.06%,-0.67%,18.12%,35.76%,163.30%,2.50,0.34,-3.97,-3.97,101.61,"3,029.16","2,861.55",39.20
Tata Consultancy Services,"4,507.85",1.31%,"13,85,591","₹ 16,11,134.38",33.85,39.73,"4,592.25","3,311.00",7.44%,16.82%,29.51%,17.23%,109.28%,17.85,1.64,8.84,8.84,131.54,"4,297.02","3,976.68",55.15
HDFC Bank,"1,650.35",0.23%,"1,33,03,323","₹ 12,55,946.25",18.42,15.28,"1,794.00","1,363.55",-0.59%,5.70%,1.14%,6.09%,46.61%,2.66,1.18,-12.36,-12.36,89.49,"1,637.60","1,556.65",54.74
Bharti Airtel,"1,577.85",2.28%,"61,63,457","₹ 9,22,818.94",72.02,31.86,"1,608.40",883.60,8.18%,10.64%,77.13%,131.86%,352.68%,10.48,0.52,-29.77,-29.77,21.42,"1,482.07","1,264.71",58.41
ICICI Bank,"1,237.30",0.19%,"1,55,45,130","₹ 8,71,954.00",19.24,15.28,"1,257.80",899.00,5.50%,10.10%,26.48%,74.91%,213.56%,3.25,0.81,6.97,6.97,64.38,"1,211.65","1,099.56",58.30
Infosys,"1,912.30",0.93%,"69,09,600","₹ 7,86,704.94",29.51,39.73,"1,975.75","1,351.65",6.39%,27.51%,29.52%,13.03%,133.18%,11.09,2.43,-6.71,-6.71,64.20,"1,808.23","1,603.48",55.57
State Bank of India,782.65,-0.20%,"1,28,24,701","₹ 6,99,957.31",9.57,17.29,912.00,543.20,-3.69%,-5.91%,32.27%,80.81%,174.37%,1.70,1.75,4.02,4.02,81.94,834.61,755.10,34.03
Hindustan Unilever,"2,898.60",-0.79%,"15,36,584","₹ 6,86,574.06",66.43,72.01,"2,938.20","2,172.05",5.45%,12.99%,14.29%,4.03%,58.89%,13.40,1.44,-0.41,-0.41,43.99,"2,717.91","2,494.98",77.09
LIC of India,"1,032.15",0.28%,"7,49,982","₹ 6,50,842.25",15.56,32.54,"1,222.00",597.35,-3.93%,3.48%,52.00%,17.93%,17.93%,7.85,0.97,-36.45,-36.45,66.13,"1,080.38",967.38,39.08
ITC,513.60,0.36%,"1,09,11,995","₹ 6,39,655.56",31.27,35.66,515.95,399.35,3.84%,17.56%,14.85%,139.83%,110.71%,8.58,2.69,-1.07,-1.07,16.36,484.35,447.43,60.94
Larsen & Toubro,"3,596.15",0.50%,"12,03,483","₹ 4,91,938.81",37.04,36.05,"3,919.90","2,846.05",0.68%,1.48%,24.25%,115.12%,163.72%,5.70,0.95,24.55,24.55,96.60,"3,628.65","3,538.05",43.50
HCL Technologies,"1,779.10",1.85%,"23,07,528","₹ 4,73,751.66",28.84,39.73,"1,817.15","1,208.55",12.23%,25.40%,38.82%,47.23%,236.41%,6.94,2.98,1.37,1.37,60.53,"1,628.05","1,519.33",61.04
Bajaj Finance,"7,241.85",-1.44%,"13,08,932","₹ 4,54,761.13",30.47,32.54,"8,192.00","6,187.80",9.59%,2.16%,-2.03%,-2.74%,111.97%,5.95,0.49,-10.97,-10.97,241.14,"6,913.75","6,983.44",68.18
Sun Pharmaceutical,"1,836.35",0.80%,"14,60,472","₹ 4,37,146.84",41.46,39.35,"1,850.00","1,068.35",5.91%,21.36%,61.52%,135.34%,334.95%,6.87,0.74,-0.38,-0.38,43.95,"1,697.19","1,510.18",69.64
Tata Motors,"1,035.80",-0.28%,"69,19,238","₹ 3,82,296.63",11.26,39.71,"1,179.00",608.30,-3.75%,6.22%,63.16%,243.89%,670.97%,5.27,0.59,568.11,568.11,102.18,"1,055.95",939.28,42.02
Maruti Suzuki,"12,263.40",0.97%,"2,85,122","₹ 3,81,991.28",25.98,18.51,"13,680.00","9,737.65",-0.08%,-3.57%,16.42%,78.41%,85.89%,4.46,1.03,42.19,42.19,467.71,"12,413.01","11,736.73",41.32
NTPC,396.30,1.65%,"1,58,52,309","₹ 3,78,121.50",17.66,33.43,426.30,227.75,-1.14%,8.61%,63.02%,244.61%,218.31%,2.35,1.99,6.01,6.01,22.08,395.96,348.38,39.73
Oil & Natural Gas Corporation,295.60,-1.10%,"1,56,18,589","₹ 3,76,087.44",8.22,36.75,345.00,179.90,-13.39%,14.07%,61.18%,140.23%,135.07%,1.12,4.10,39.37,39.37,36.35,317.63,268.07,34.62
Axis Bank,"1,187.20",1.40%,"87,23,854","₹ 3,62,005.88",13.54,15.28,"1,339.65",951.40,1.97%,-1.07%,18.67%,50.59%,74.15%,2.21,0.09,101.20,101.20,86.46,"1,206.04","1,132.96",47.04
Kotak Bank,"1,791.60",0.08%,"34,97,612","₹ 3,55,913.25",19.09,15.28,"1,926.50","1,543.85",1.07%,2.63%,-0.90%,-2.63%,21.45%,2.74,0.11,5.10,5.10,93.78,"1,796.28","1,769.49",51.27
Avenue Supermarts DMart,"5,344.40",-0.32%,"4,00,985","₹ 3,48,740.88",131.55,40.31,"5,395.00","3,616.00",6.59%,11.84%,40.25%,34.90%,240.18%,18.65,-,-8.32,-8.32,40.74,"4,997.14","4,416.26",68.57
Adani Enterprises,"2,986.40",0.75%,"8,03,782","₹ 3,37,970.44",79.18,40.31,"3,743.90","2,142.00",-5.25%,-7.26%,14.20%,94.88%,"1,974.61%",9.58,0.04,28.37,28.37,37.44,"3,081.82","3,060.59",36.40
Mahindra & Mahindra,"2,690.00",-0.70%,"20,34,126","₹ 3,37,070.91",30.52,18.51,"2,979.60","1,450.00",-1.02%,-4.19%,70.03%,260.81%,392.90%,5.09,0.78,-6.64,-6.64,88.80,"2,783.42","2,201.37",43.74
UltraTech Cement,"11,541.05",0.41%,"2,37,496","₹ 3,31,918.19",47.15,26.85,"12,078.00","8,045.05",2.11%,6.60%,36.39%,45.27%,195.67%,5.51,0.61,24.53,24.53,243.84,"11,510.78","10,315.90",53.91
Titan,"3,727.40",1.16%,"11,09,078","₹ 3,27,069.31",94.68,34.09,"3,875.00","3,055.65",12.24%,8.92%,16.00%,83.56%,238.53%,34.82,0.30,35.33,35.33,38.91,"3,430.45","3,537.66",65.02
Asian Paints,"3,295.05",0.44%,"9,28,920","₹ 3,14,755.97",61.96,55.55,"3,422.95","2,670.10",7.92%,12.17%,1.09%,-2.14%,111.03%,16.81,1.02,12.16,12.16,52.96,"3,052.15","3,010.69",73.24
Hindustan Aeronautics,"4,685.40",0.61%,"12,58,288","₹ 3,11,274.63",37.76,49.89,"5,674.75","1,767.80",-0.87%,-2.65%,129.52%,566.84%,"1,244.83%",10.68,0.75,5.79,5.79,113.89,"4,941.65","3,871.24",43.05
Adani Ports & SEZ,"1,453.40",1.22%,"15,42,798","₹ 3,10,163.56",30.99,35.53,"1,621.40",754.50,-3.20%,5.01%,64.70%,95.06%,289.29%,5.88,0.42,36.57,36.57,46.34,"1,495.62","1,308.36",36.73
Power Grid Corporation of India,334.15,1.70%,"1,54,72,387","₹ 3,05,571.34",19.46,33.43,362.50,190.65,-2.05%,5.81%,68.44%,156.19%,194.95%,3.51,3.42,1.39,1.39,16.88,339.15,290.44,39.94
Bajaj Auto,"10,987.75",1.29%,"4,66,892","₹ 3,02,850.69",37.83,43.82,"11,154.10","4,762.60",13.15%,12.89%,128.61%,197.00%,277.79%,10.46,0.74,28.95,28.95,286.76,"9,897.85","8,561.56",69.13
Coal India,491.10,1.37%,"98,09,547","₹ 2,98,645.81",8.17,21.14,543.55,269.00,-6.27%,2.81%,76.05%,217.66%,149.67%,3.61,5.26,-13.16,-13.16,59.34,508.78,447.78,34.02
Bajaj Finserv,"1,824.50",-1.93%,"21,55,688","₹ 2,96,803.53",35.58,32.54,"1,898.00","1,419.05",17.03%,16.52%,17.73%,7.72%,148.09%,4.92,0.05,-4.49,-4.49,52.25,"1,644.05","1,625.20",79.02
Adani Green Energy,"1,849.70",-0.86%,"5,35,037","₹ 2,95,913.13",214.48,33.43,"2,174.10",815.55,2.86%,-1.63%,82.30%,56.07%,"3,729.61%",48.73,-,-45.45,-45.45,8.71,"1,817.05","1,751.87",50.84
Wipro,525.75,2.12%,"51,43,636","₹ 2,69,322.78",24.09,39.73,579.90,375.05,7.50%,10.63%,20.90%,-21.62%,111.87%,3.61,0.19,1.77,1.77,21.37,522.34,484.41,47.38
Trent,"7,137.95",0.02%,"3,76,043","₹ 2,53,569.20",201.33,40.31,"7,325.00","1,945.00",11.84%,43.64%,242.22%,609.47%,"1,466.71%",62.34,0.04,143.63,143.63,35.43,"6,109.29","4,426.32",69.49
Indian Oil Corporation,175.55,0.12%,"1,48,75,095","₹ 2,47,545.31",8.03,12.66,196.80,85.50,3.78%,6.26%,84.40%,130.99%,108.91%,1.35,6.84,180.67,180.67,21.83,172.54,159.82,52.14
