Company,LTP (₹),1D Return %,Market Cap (Cr),52W High / Low (₹),Volume
Reliance Industries Ltd.,"2,929.65",-0.80,"19,82,207","3,217.60/2,220.30","82,15,821"
Tata Consultancy Services Ltd.,"4,287.90",+0.45,"15,51,400","4,592.25/3,311.00","18,23,365"
HDFC Bank Ltd.,"1,726.20",-0.34,"13,17,225","1,794.00/1,363.55","1,22,86,142"
Bharti Airtel Ltd.,"1,698.70",-0.63,"9,83,756","1,779.00/895.45","36,49,090"
ICICI Bank Ltd.,"1,274.40",+0.11,"8,97,968","1,362.35/899.00","1,09,72,413"
Infosys Ltd.,"1,904.35",+1.53,"7,90,714","1,975.75/1,351.65","40,29,072"
State Bank Of India,796.95,+1.15,"7,11,247",912.00/543.20,"1,32,80,535"
Hindustan Unilever Ltd.,"2,923.75",-1.17,"6,86,962","3,035.00/2,172.05","11,84,642"
ITC Ltd.,516.20,-0.38,"6,45,642",528.50/399.35,"50,89,315"
Life Insurance Corporation Of India,"1,000.05",-0.69,"6,32,531","1,222.00/597.35","11,46,284"
Larsen & Toubro Ltd.,"3,653.50",-0.60,"5,13,730","3,919.90/2,856.15","16,74,100"
HCL Technologies Ltd.,"1,816.50",+1.14,"4,92,937","1,828.55/1,208.55","16,42,542"
Bajaj Finance Ltd.,"7,703.00",0.00,"4,76,813","8,192.00/6,187.80","7,88,288"
Sun Pharmaceutical Industries Ltd.,"1,919.95",-0.35,"4,60,660","1,960.35/1,068.35","12,75,678"
NTPC Ltd.,440.10,-0.70,"4,26,750",448.45/227.75,"1,59,84,996"
Maruti Suzuki India Ltd.,"13,166.00",-0.54,"4,13,942","13,680.00/9,737.65","3,88,888"
Mahindra & Mahindra Ltd.,"3,165.50",+2.28,"3,93,639","3,222.10/1,450.00","40,28,211"
Axis Bank Ltd.,"1,226.65",-0.45,"3,79,434","1,339.65/951.40","1,11,64,280"
Oil And Natural Gas Corporation Ltd.,291.95,-1.90,"3,74,666",345.00/179.90,"1,09,19,818"
Kotak Mahindra Bank Ltd.,"1,879.40",+1.37,"3,73,647","1,942.00/1,543.85","48,71,526"
Adani Enterprises Ltd.,"3,186.10",+1.60,"3,63,216","3,743.90/2,142.00","13,67,116"
Tata Motors Ltd.,965.20,-0.97,"3,55,279","1,179.00/608.30","1,00,85,203"
UltraTech Cement Ltd.,"11,837.15",+0.30,"3,41,735","12,138.00/8,045.05","3,24,906"
Bajaj Auto Ltd.,"12,157.45",-1.53,"3,39,506","12,774.00/4,903.05","6,70,828"
Titan Company Ltd.,"3,775.95",-1.26,"3,35,224","3,886.95/3,055.65","7,74,221"
Power Grid Corporation Of India Ltd.,350.80,-0.58,"3,26,265",366.25/193.75,"98,56,291"
Avenue Supermarts Ltd.,"4,954.35",-2.79,"3,22,396","5,484.85/3,616.00","5,62,718"
Adani Ports & Special Economic Zone Ltd.,"1,467.50",+1.33,"3,17,000","1,621.40/754.50","16,87,795"
Bajaj Finserv Ltd.,"1,975.25",+0.09,"3,15,381","2,029.90/1,419.05","13,26,900"
Asian Paints Ltd.,"3,277.35",-1.55,"3,14,363","3,422.95/2,670.10","9,68,660"
Coal India Ltd.,508.50,-0.32,"3,13,375",543.55/283.05,"47,43,517"
Adani Green Energy Ltd.,"1,884.95",-0.93,"2,98,582","2,174.10/815.55","7,98,097"
Hindustan Aeronautics Ltd.,"4,426.10",+0.12,"2,96,007","5,674.75/1,767.80","8,41,972"
Wipro Ltd.,546.75,+0.98,"2,86,020",579.90/375.05,"47,05,637"
Trent Ltd.,"7,612.70",+0.50,"2,70,622","7,939.90/1,945.00","5,59,721"
Siemens Ltd.,"7,511.70",+3.61,"2,67,507","7,968.70/3,246.00","5,16,730"
Nestle India Ltd.,"2,707.05",+0.64,"2,61,002","2,778.00/2,225.51","5,52,759"
Indian Oil Corporation Ltd.,179.06,-0.61,"2,52,855",196.80/85.50,"1,73,90,545"
Adani Power Ltd.,653.20,-0.45,"2,51,935",895.85/289.35,"12,66,464"
JSW Steel Ltd.,"1,027.30",-0.27,"2,51,221","1,032.90/723.00","13,92,457"
Zomato Ltd.,274.15,+0.31,"2,42,194",298.25/100.00,"3,21,10,540"
DLF Ltd.,913.75,+2.08,"2,26,182",967.60/513.50,"18,99,090"
Jio Financial Services Ltd.,351.00,+0.11,"2,23,000",394.70/204.25,"1,64,21,563"
Hindustan Zinc Ltd.,519.90,-0.50,"2,19,674",807.70/284.60,"18,84,521"
Tata Steel Ltd.,167.03,-0.90,"2,08,512",184.60/114.60,"5,07,61,579"
Bharat Electronics Ltd.,283.95,-0.40,"2,07,561",340.50/127.00,"1,38,83,476"
